,File,Min,1Q,Median,Mean,3Q,Max,Type
rm,6.1561262278,0,4.3358168765,5.062679807,4.6982692806,5.4413615118,5.9277032367,0
bzgrep,5.0757399556,1.3064773443,4.3699655215,4.6446000782,4.405291744,4.8198430589,5.2252177216,0
login0tl,6.2507760065,0.498574596,4.4999857684,4.9117222004,4.7363003027,5.2766806596,5.7961268911,0
rmdir,5.8951377247,0,4.1569230363,4.8643408312,4.3769617315,5.2736682004,5.9164204803,0
bzip2,5.7645013208,0,3.9246844703,4.7146899639,4.1439440103,5.1926374811,6.0226941912,0
lowntfs3g,5.7839623573,0,4.1686714906,4.8245493036,4.3341714629,5.1860366662,5.8951400299,0
bzip2re0o1er,5.6050646149,0.9396450724,3.3051055913,4.5688149464,4.2106746795,5.2336899399,5.8531304295,0
ls,6.3371047907,1.2633445357,4.5733029409,5.2011840083,4.8721933483,5.4892089847,6.1118568843,0
runningin0ontainer,4.4540300547,4.4540300547,4.4540300547,4.4540300547,4.4540300547,4.4540300547,4.4540300547,0
lsblk,5.9861574805,0,4.2888698887,4.9446012853,4.459743437,5.2874136297,5.8672500313,0
runparts,5.5367466635,0,3.4529837133,4.4358521621,3.9777579417,4.988415893,5.6516692043,0
bzmore,5.2183889626,0.453125,4.6860024794,4.8854000304,4.173499588,4.9548710201,5.1423830164,0
sed,6.1961660772,0,4.3345939269,5.0242781513,4.6660984282,5.3829322071,5.9926573068,0
0at,5.8199712911,0,4.186351086,4.8595481003,4.3892080597,5.1758897646,5.9228118787,0
mkdir,5.8978257655,0,4.1951317672,4.8375423096,4.3814118857,5.284702516,5.9194067461,0
setfa0l,5.7429968693,0,4.0013296359,4.7276414722,4.2527054315,5.0862784441,5.9618925599,0
0ha0l,5.372131042,0.5250777905,3.2085881612,4.2848439212,3.8874081136,4.8831104728,5.5585564744,0
mknod,5.5999617906,0,3.7323930817,4.5582063943,4.016667075,5.2104280759,5.8995343511,0
setfont,5.9109177484,0,4.4006790774,4.9005968785,4.4716431065,5.2589966714,5.9249884864,0
0hgrp,6.137749589,0,4.3299297073,4.9976873377,4.6692102015,5.4000414436,5.9036163677,0
